delivery_date,hour_ending,repeated_hour_flag,settlement_point,settlement_point_price
1/2/2026,1:00,N,HB_SOUTH,13.31
1/2/2026,1:00,N,HB_WEST,11.72
1/2/2026,1:00,N,LZ_AEN,14.02
1/2/2026,1:00,N,LZ_CPS,13.62
1/2/2026,1:00,N,LZ_HOUSTON,15.67
1/2/2026,1:00,N,LZ_LCRA,13.92
1/2/2026,1:00,N,LZ_NORTH,16.29
1/2/2026,1:00,N,LZ_RAYBN,20.51
1/2/2026,1:00,N,LZ_SOUTH,13.14
1/2/2026,1:00,N,LZ_WEST,22.69
1/2/2026,2:00,N,HB_BUSAVG,13.01
1/2/2026,2:00,N,HB_HOUSTON,12.58
1/2/2026,2:00,N,HB_HUBAVG,11.89
1/2/2026,2:00,N,HB_NORTH,15.06
1/2/2026,2:00,N,HB_PAN,1.12
1/2/2026,2:00,N,HB_SOUTH,10.36
1/2/2026,2:00,N,HB_WEST,9.58
1/2/2026,2:00,N,LZ_AEN,11.05
1/2/2026,2:00,N,LZ_CPS,10.74
1/2/2026,2:00,N,LZ_HOUSTON,12.48
1/2/2026,2:00,N,LZ_LCRA,10.96
1/2/2026,2:00,N,LZ_NORTH,13
1/2/2026,2:00,N,LZ_RAYBN,16.97
1/2/2026,2:00,N,LZ_SOUTH,10.34
1/2/2026,2:00,N,LZ_WEST,20.68
1/2/2026,3:00,N,HB_BUSAVG,10.95
1/2/2026,3:00,N,HB_HOUSTON,10.5
1/2/2026,3:00,N,HB_HUBAVG,10.05
1/2/2026,3:00,N,HB_NORTH,12.56
1/2/2026,3:00,N,HB_PAN,0
1/2/2026,3:00,N,HB_SOUTH,8.94
1/2/2026,3:00,N,HB_WEST,8.2
1/2/2026,3:00,N,LZ_AEN,9.19
1/2/2026,3:00,N,LZ_CPS,8.9
1/2/2026,3:00,N,LZ_HOUSTON,10.43
1/2/2026,3:00,N,LZ_LCRA,9.11
1/2/2026,3:00,N,LZ_NORTH,10.89
1/2/2026,3:00,N,LZ_RAYBN,14.17
1/2/2026,3:00,N,LZ_SOUTH,9.14
1/2/2026,3:00,N,LZ_WEST,18.05
1/2/2026,4:00,N,HB_BUSAVG,11.28
1/2/2026,4:00,N,HB_HOUSTON,10.56
1/2/2026,4:00,N,HB_HUBAVG,9.97
1/2/2026,4:00,N,HB_NORTH,13.37
